state,nces_id,district,students
TX,4817610,DUMAS ISD,560
AL,0101830,Jackson County,386
NJ,3414550,Salem City School District,380
AL,0100930,Covington County,265
MS,2803900,SCOTT CO SCHOOL DIST,259
AL,0102790,Pike County,252
AL,0100510,Butler County,248
TX,4831760,MOUNT PLEASANT ISD,239
GA,1301890,Laurens County,231
MS,2800200,CHICKASAW CO SCHOOL DIST,192
MS,2804050,SOUTH PANOLA SCHOOL DISTRICT,192
AL,0100810,Coffee County,184
TX,4810200,BIG SPRING ISD,180
AL,0102480,Morgan County,175
AL,0100540,Calhoun County,173
TX,4827780,LIVINGSTON ISD,161
AL,0100006,Marshall County,157
AL,0101140,DeKalb County,156
AL,0102310,Marion County,155
AL,0101050,Dale County,146
MS,2804590,WEST JASPER CONSOLIDATED SCHOOLS,145
MO,2913380,GREENVILLE R-II,141
AL,0101320,Enterprise City,138
AR,0506870,GREEN FOREST SCHOOL DISTRICT,136
TN,4702670,Marshall County,132
AZ,0400863,The Paideia Academies Inc (91250),131
TX,4845180,WEST SABINE ISD,125
AL,0101950,Lamar County,124
TN,4704080,Tipton County,123
MS,2802700,LOUISVILLE MUNICIPAL SCHOOL DIST,116
AL,0101660,Geneva County,113
TX,4834980,PINE TREE ISD,108
GA,1303750,Montgomery County,106
TX,4839750,SEMINOLE ISD,104
TX,4833690,ONALASKA ISD,99
AL,0100420,Blount County,92
AR,0512540,SOUTHSIDE SCHOOL DISTRICT,92
MS,2801320,DESOTO CO SCHOOL DIST,92
AR,0502730,BARTON SCHOOL DISTRICT,90
AR,0514140,WHITE HALL SCHOOL DISTRICT,90
AL,0101770,Houston County,87
AL,0102010,Lauderdale County,86
MS,2803520,PEARL PUBLIC SCHOOL DISTRICT,84
AL,0103450,Walker County,82
TX,4845090,WEST ORANGE-COVE CISD,82
AR,0500032,BEARDEN SCHOOL DISTRICT,80
MS,2802850,MARSHALL CO SCHOOL DIST,80
AL,0101470,Fayette County,79
AR,0511820,PRESCOTT SCHOOL DISTRICT,78
AR,0510200,MOUNTAIN VIEW SCHOOL DISTRICT,77
AL,0102650,Pell City,76
TX,4813650,CHAPEL HILL ISD,76
AL,0103120,Sylacauga City,75
AR,0503150,BERRYVILLE SCHOOL DISTRICT,75
OK,4000751,DEBORAH BROWN (CHARTER),75
MS,2802880,MCCOMB SCHOOL DISTRICT,74
AL,0103480,Washington County,73
MS,2803240,NORTH PIKE SCHOOL DIST,73
TX,4841970,SWEENY ISD,73
AZ,0400282,Harvest Power Community Development Group Inc. (79501),71
TX,4828710,MADISONVILLE CISD,70
GA,1303000,Jeff Davis County,69
TX,4808280,ANDREWS ISD,68
MS,2802550,LEE COUNTY SCHOOL DISTRICT,67
TX,4819440,FLOYDADA ISD,67
TX,4825620,KILGORE ISD,66
TX,4813410,CENTERVILLE ISD,65
TX,4800184,GATEWAY CHARTER ACADEMY,64
AL,0100780,Cleburne County,63
FL,1200900,HOLMES,63
FL,1201830,SUWANNEE,63
