state,students,black,boys,with_disabilities,instances,per_1000_enrolled,change_vs_2021_22
TX,5359,714,4472,1186,8528,1.01,-0.268
AL,4352,1156,3607,816,5333,5.96,0.066
MS,2653,1525,2083,22,3173,6.23,-0.279
AR,2596,593,2066,470,3671,5.50,-0.180
GA,1127,486,910,259,1681,0.66,-0.271
MO,1002,127,857,161,1231,1.15,-0.116
OK,991,141,791,89,1185,1.48,-0.320
TN,616,96,521,98,752,0.64,-0.403
FL,467,69,388,131,719,0.17,-0.278
NJ,380,286,220,89,1655,,
AZ,202,40,139,38,260,0.18,1.806
LA,65,24,56,1,81,0.10,-0.754
