rank,state,nces_id,district,students
1,TX,4817610,"DUMAS ISD",560
2,AL,0101830,"Jackson County",386
3,AL,0100930,"Covington County",265
4,MS,2803900,"SCOTT CO SCHOOL DIST",259
5,AL,0102790,"Pike County",252
6,AL,0100510,"Butler County",248
7,TX,4831760,"MOUNT PLEASANT ISD",239
8,GA,1301890,"Laurens County",231
9,MS,2800200,"CHICKASAW CO SCHOOL DIST",192
10,MS,2804050,"SOUTH PANOLA SCHOOL DISTRICT",192
11,AL,0100810,"Coffee County",184
12,TX,4810200,"BIG SPRING ISD",180
13,AL,0102480,"Morgan County",175
14,AL,0100540,"Calhoun County",173
15,TX,4827780,"LIVINGSTON ISD",161
16,AL,0100006,"Marshall County",157
17,AL,0101140,"DeKalb County",156
18,AL,0102310,"Marion County",155
19,AL,0101050,"Dale County",146
20,MS,2804590,"WEST JASPER CONSOLIDATED SCHOOLS",145
21,MO,2913380,"GREENVILLE R-II",141
22,AL,0101320,"Enterprise City",138
23,AR,0506870,"GREEN FOREST SCHOOL DISTRICT",136
24,TN,4702670,"Marshall County",132
25,AZ,0400863,"The Paideia Academies Inc (91250)",131
26,TX,4845180,"WEST SABINE ISD",125
27,AL,0101950,"Lamar County",124
28,TN,4704080,"Tipton County",123
29,MS,2802700,"LOUISVILLE MUNICIPAL SCHOOL DIST",116
30,AL,0101660,"Geneva County",113
31,TX,4834980,"PINE TREE ISD",108
32,GA,1303750,"Montgomery County",106
33,TX,4839750,"SEMINOLE ISD",104
34,TX,4833690,"ONALASKA ISD",99
35,AL,0100420,"Blount County",92
36,AR,0512540,"SOUTHSIDE SCHOOL DISTRICT",92
37,MS,2801320,"DESOTO CO SCHOOL DIST",92
38,AR,0502730,"BARTON SCHOOL DISTRICT",90
39,AR,0514140,"WHITE HALL SCHOOL DISTRICT",90
40,AL,0101770,"Houston County",87
41,AL,0102010,"Lauderdale County",86
42,MS,2803520,"PEARL PUBLIC SCHOOL DISTRICT",84
43,AL,0103450,"Walker County",82
44,TX,4845090,"WEST ORANGE-COVE CISD",82
45,AR,0500032,"BEARDEN SCHOOL DISTRICT",80
46,MS,2802850,"MARSHALL CO SCHOOL DIST",80
47,AL,0101470,"Fayette County",79
48,AR,0511820,"PRESCOTT SCHOOL DISTRICT",78
49,AR,0510200,"MOUNTAIN VIEW SCHOOL DISTRICT",77
50,AL,0102650,"Pell City",76
51,TX,4813650,"CHAPEL HILL ISD",76
52,AL,0103120,"Sylacauga City",75
53,AR,0503150,"BERRYVILLE SCHOOL DISTRICT",75
54,OK,4000751,"DEBORAH BROWN (CHARTER)",75
55,MS,2802880,"MCCOMB SCHOOL DISTRICT",74
56,AL,0103480,"Washington County",73
57,MS,2803240,"NORTH PIKE SCHOOL DIST",73
58,TX,4841970,"SWEENY ISD",73
59,AZ,0400282,"Harvest Power Community Development Group Inc. (79501)",71
60,TX,4828710,"MADISONVILLE CISD",70
61,GA,1303000,"Jeff Davis County",69
62,TX,4808280,"ANDREWS ISD",68
63,MS,2802550,"LEE COUNTY SCHOOL DISTRICT",67
64,TX,4819440,"FLOYDADA ISD",67
65,TX,4825620,"KILGORE ISD",66
66,TX,4813410,"CENTERVILLE ISD",65
67,TX,4800184,"GATEWAY CHARTER ACADEMY",64
68,AL,0100780,"Cleburne County",63
69,FL,1200900,"HOLMES",63
70,FL,1201830,"SUWANNEE",63
71,MS,2804110,"SOUTH TIPPAH SCHOOL DIST",62
72,MO,2919890,"MALDEN R-I",62
