state,regular,charter,total
AK,53,0,53
AL,140,14,154
AR,233,28,261
AS,1,0,1
AZ,226,456,682
BI,174,0,174
CA,980,1012,1992
CO,178,2,180
CT,170,22,192
DC,1,69,70
DE,19,23,42
FL,67,10,77
GA,180,49,229
GU,1,4,5
HI,1,0,1
IA,327,4,331
ID,115,71,186
IL,857,11,868
IN,291,124,415
KS,286,0,286
KY,171,0,171
LA,70,119,189
MA,323,77,400
MD,24,0,24
ME,257,10,267
MI,539,298,837
MN,329,197,526
MO,518,38,556
MP,1,0,1
MS,138,10,148
MT,399,0,399
NC,124,223,347
ND,174,0,174
NE,244,0,244
NH,182,32,214
NJ,562,88,650
NM,89,59,148
NV,18,1,19
NY,691,347,1038
OH,619,345,964
OK,509,34,543
OR,172,25,197
PA,500,183,683
PR,1,0,1
RI,36,23,59
SC,76,3,79
SD,150,0,150
TN,140,1,141
TX,1023,196,1219
UT,41,117,158
VA,131,0,131
VI,2,0,2
WA,298,18,316
WI,420,29,449
WV,55,5,60
WY,48,3,51
