nces_id,state,name,phone,website,street,city,zip_state,zip,lea_type,status
0100002,AL,Alabama Youth Services,(334)215-3860,http://www.dys.alabama.gov/school-district.html,1000 Industrial School Road,Mt Meigs,AL,36057,Regular public school district that is not a component of a supervisory union,Open
0100005,AL,Albertville City,(256)891-1183,http://www.albertk12.org,8379 US Highway 431,Albertville,AL,35950,Regular public school district that is not a component of a supervisory union,Open
0100006,AL,Marshall County,(256)582-3171,http://www.marshallk12.org,12380 US Highway 431 S,Guntersville,AL,35976,Regular public school district that is not a component of a supervisory union,Open
0100007,AL,Hoover City,(205)439-1015,http://www.hoovercityschools.net,2810 Metropolitan Way,Hoover,AL,35243,Regular public school district that is not a component of a supervisory union,Open
0100008,AL,Madison City,(256)464-8370,http://www.madisoncity.k12.al.us,211 Celtic Dr,Madison,AL,35758,Regular public school district that is not a component of a supervisory union,Open
0100009,AL,Al Inst Deaf And Blind,(256)761-3200,http://www.aidb.org,PO Box 698,Talladega,AL,35161,State operated agency,Open
0100010,AL,Al Sch Of Math And Science,(251)441-2100,,1255 Dauphin St,Mobile,AL,36604,State operated agency,Open
0100011,AL,Leeds City,(205)699-5437,http://www.leedsk12.org,1517 Hurst Avenue,Leeds,AL,35094,Regular public school district that is not a component of a supervisory union,Open
0100012,AL,Boaz City,(256)593-8180,http://www.boazk12.org,126 Newt Parker Dr,Boaz,AL,35957,Regular public school district that is not a component of a supervisory union,Open
0100013,AL,Trussville City,(205)228-3018,http://trussvillecityschools.com,476 Main Street,Trussville,AL,35173,Regular public school district that is not a component of a supervisory union,Open
0100018,AL,Alabama School of Fine Arts,(205)252-9241,http://www.asfa.k12.al.us,1800 Rev Abraham Woods Jr Blvd,Birmingham,AL,35203,State operated agency,Open
0100030,AL,Alexander City,(256)234-8698,http://375 LEE ST,375 Lee Street,Alexander City,AL,35010,Regular public school district that is not a component of a supervisory union,Open
0100060,AL,Andalusia City,(334)222-3186,http://andalusiacityschools.schoolinsites.com/,1201 C C Baker Avenue,Andalusia,AL,36421,Regular public school district that is not a component of a supervisory union,Open
0100090,AL,Anniston City,(256)231-5000,http://www.annistonschools.com,PO Box 1500,Anniston,AL,36202,Regular public school district that is not a component of a supervisory union,Open
0100100,AL,Arab City,(256)586-6011,http://www.arabcityschools.org,750 Arabian Dr NE,Arab,AL,35016,Regular public school district that is not a component of a supervisory union,Open
0100120,AL,Athens City,(256)233-6600,http://www.acs-k12.org,455 US Highway 31 North,Athens,AL,35611,Regular public school district that is not a component of a supervisory union,Open
0100176,AL,JF Ingram State Technical College,(334)514-6147,,P O Box 220350,Deatsville,AL,36022,State operated agency,Open
0100180,AL,Attalla City,(256)459-7017,http://www.attalla.k12.al.us,101 Case Avenue SE,Attalla,AL,35954,Regular public school district that is not a component of a supervisory union,Open
0100185,AL,Saraland City,(251)375-5426,http://www.saralandboe.org,4010 Lil Spartan Drive,Saraland,AL,36571,Regular public school district that is not a component of a supervisory union,Open
0100188,AL,Chickasaw City,(251)452-2256,http://www.chickasawschools.com/,P O Box 11493,Chickasaw,AL,36611,Regular public school district that is not a component of a supervisory union,Open
0100189,AL,Satsuma City,(251)380-8200,http://www.satsumaschools.com,220 Baker Road,Satsuma,AL,36572,Regular public school district that is not a component of a supervisory union,Open
0100190,AL,Alabaster City,(205)663-8400,http://acsboe.org,10111 Highway 119,Alabaster,AL,35007,Regular public school district that is not a component of a supervisory union,Open
0100194,AL,Pelham City,(205)624-3700,http://www.pelhamcityschools.org,3160 Pelham Parkway,Pelham,AL,35124,Regular public school district that is not a component of a supervisory union,Open
0100195,AL,Pike Road City,(334)420-5300,http://prs.school,9045 Vaughn Road,Montgomery,AL,36117,Regular public school district that is not a component of a supervisory union,Open
0100197,AL,MAEF Public Charter Schools,(251)476-0002,http://605 Bel Air Bvd Suite 21,3725 AIRPORT BLVD,MOBILE,AL,36608,Independent charter district,Open
0100199,AL,University Charter School,(205)754-3440,http://www.universitycharterschool.org,134 University Drive,Livingston,AL,35470,Independent charter district,Open
0100201,AL,Legacy Prep,(205)573-0777,http://www.legacyprepal.org,1500 Daniel Payne Drive,Birmingham,AL,35214,Independent charter district,Open
0100202,AL,Gulf Shores City,(251)968-9873,http://www.gsboe.org,PO Box 3908,Gulf Shores,AL,36547,Regular public school district that is not a component of a supervisory union,Open
