nces_id,state,county,county_fips,lat,lon
0100002,AL,Montgomery County,01101,32.376397,-86.084642
0100005,AL,Marshall County,01095,34.282186,-86.223627
0100006,AL,Marshall County,01095,34.305770,-86.286958
0100007,AL,Jefferson County,01073,33.407169,-86.766082
0100008,AL,Madison County,01089,34.686721,-86.745741
0100009,AL,Talladega County,01121,33.431960,-86.098534
0100010,AL,Mobile County,01097,30.686571,-88.065476
0100011,AL,Jefferson County,01073,33.549781,-86.535914
0100012,AL,Marshall County,01095,34.213187,-86.160456
0100013,AL,Jefferson County,01073,33.616974,-86.619249
0100018,AL,Jefferson County,01073,33.520933,-86.812936
0100030,AL,Tallapoosa County,01123,32.940361,-85.957909
0100060,AL,Covington County,01039,31.327923,-86.482833
0100090,AL,Calhoun County,01015,33.708165,-85.822863
0100100,AL,Marshall County,01095,34.328111,-86.487787
0100120,AL,Limestone County,01083,34.809200,-86.949816
0100176,AL,Elmore County,01051,32.582667,-86.391816
0100180,AL,Etowah County,01055,33.998996,-86.108597
0100185,AL,Mobile County,01097,30.862118,-88.126675
0100188,AL,Mobile County,01097,30.763732,-88.075055
0100189,AL,Mobile County,01097,30.849239,-88.067799
0100190,AL,Shelby County,01117,33.226138,-86.824059
0100194,AL,Shelby County,01117,33.287785,-86.811329
0100195,AL,Montgomery County,01101,32.342123,-86.125991
0100197,AL,Mobile County,01097,30.672421,-88.138607
0100199,AL,Sumter County,01119,32.601648,-88.186266
0100201,AL,Jefferson County,01073,33.553991,-86.872386
0100202,AL,Baldwin County,01003,30.269665,-87.682647
0100203,AL,Montgomery County,01101,32.341405,-86.223619
0100204,AL,Jefferson County,01073,33.540173,-86.751554
0100207,AL,Montgomery County,01101,32.352192,-86.328259
0100208,AL,Perry County,01105,32.607571,-87.335131
0100210,AL,Lee County,01081,32.599209,-85.464096
0100211,AL,Jefferson County,01073,33.470676,-86.829899
0100212,AL,Madison County,01089,34.725714,-86.655826
0100213,AL,Jefferson County,01073,33.397344,-86.956911
0100240,AL,Autauga County,01001,32.462807,-86.474304
0100270,AL,Baldwin County,01003,30.912515,-87.787491
0100300,AL,Barbour County,01005,31.881958,-85.461165
0100330,AL,Jefferson County,01073,33.401041,-86.957423
0100360,AL,Bibb County,01007,32.945500,-87.143074
0100390,AL,Jefferson County,01073,33.519899,-86.808778
0100420,AL,Blount County,01009,33.949577,-86.475111
0100450,AL,Escambia County,01053,31.118078,-87.073117
0100480,AL,Bullock County,01011,32.144752,-85.716937
0100510,AL,Butler County,01013,31.815031,-86.626547
0100540,AL,Calhoun County,01015,33.697485,-85.824338
0100600,AL,Chambers County,01017,32.890345,-85.382695
0100630,AL,Cherokee County,01019,34.151676,-85.678793
0100660,AL,Chilton County,01021,32.868878,-86.622212
0100690,AL,Choctaw County,01023,32.084838,-88.232600
0100720,AL,Clarke County,01025,31.709669,-87.780118
0100750,AL,Clay County,01027,33.257532,-85.844193
0100780,AL,Cleburne County,01029,33.677552,-85.552646
0100810,AL,Coffee County,01031,31.410122,-86.056394
0100840,AL,Colbert County,01033,34.714351,-87.702389
0100870,AL,Conecuh County,01035,31.455421,-86.969959
0100900,AL,Coosa County,01037,32.887557,-86.222306
0100930,AL,Covington County,01039,31.321586,-86.482976
0100960,AL,Crenshaw County,01041,31.705100,-86.267700
0100990,AL,Cullman County,01043,34.179200,-86.840500
0101020,AL,Cullman County,01043,34.180941,-86.840410
0101050,AL,Dale County,01045,31.425172,-85.619826
0101080,AL,Dale County,01045,31.316204,-85.709728
0101110,AL,Dallas County,01047,32.411710,-87.023871
0101140,AL,DeKalb County,01049,34.497227,-85.851233
0101170,AL,Morgan County,01103,34.602206,-86.981891
0101200,AL,Marengo County,01091,32.510583,-87.834922
0101230,AL,Houston County,01069,31.205412,-85.434158
0101260,AL,Coffee County,01031,31.423669,-86.105062
0101290,AL,Elmore County,01051,32.550160,-86.219743
0101320,AL,Coffee County,01031,31.324232,-85.852006
0101350,AL,Escambia County,01053,31.106169,-87.071849
0101380,AL,Etowah County,01055,34.013157,-86.003129
0101410,AL,Barbour County,01005,31.867992,-85.151572
0101440,AL,Jefferson County,01073,33.474518,-86.915058
0101470,AL,Fayette County,01057,33.684904,-87.832177
0101530,AL,Lauderdale County,01077,34.793586,-87.679720
0101560,AL,DeKalb County,01049,34.486206,-85.673755
0101590,AL,Franklin County,01059,34.508299,-87.727046
0101620,AL,Etowah County,01055,34.013852,-86.018098
0101640,AL,Geneva County,01061,31.045519,-85.881578
0101660,AL,Geneva County,01061,31.031117,-85.866475
0101680,AL,Greene County,01063,32.841464,-87.889358
0101690,AL,Marshall County,01095,34.308812,-86.339579
0101710,AL,Hale County,01065,32.707050,-87.593647
